,Value,Feature
22,2401,DU
54,2390,AB
42,2068,BQ
33,1543,CR
7,1026,FR
29,893,DA
0,857,GL
9,800,FI
38,714,CC
19,643,EB
53,624,AF
8,621,FL
15,618,EL
18,610,EE
37,550,CD
28,538,DE
24,532,DL
20,504,DY
32,501,CS
10,496,FE
44,479,BN
25,468,DI
2,453,GH
14,443,EP
23,437,DN
35,436,CH
26,431,DH
13,424,EU
11,405,FD
51,403,AM
46,393,BC
16,377,EH
39,352,CB
43,331,BP
17,323,EG
12,314,FC
47,311,AZ
31,293,CU
49,273,AX
3,263,GF
41,249,BR
6,240,FS
36,223,CF
45,208,BD
5,201,GB
1,199,GI
34,176,CL
48,171,AY
30,167,CW
4,117,GE
52,95,AH
27,62,DF
50,57,AR
40,39,BZ
21,21,DV
