,importance
DU,1.9532520325203249
AB,0.5916601101494879
BQ,0.5679255179648568
CR,0.41378179910831325
DA,0.21085759244689206
EL,0.16240493050091775
CC,0.13021243115656933
EB,0.10542879622344614
CH,0.09736428009441367
DL,0.09723314975085229
FI,0.089365329137162
AM,0.08916863362181982
DE,0.08910306845003912
CS,0.08130081300812997
CD,0.07310516653553645
DN,0.05651717807500645
FL,0.056517178075006225
EU,0.04078153684762642
EP,0.04051927616050344
FS,0.040388145816941945
GL,0.040388145816941834
AF,0.03271702071859395
FR,0.03252032520325199
EG,0.02432467873065791
CU,0.016456858116968398
CL,0.016325727773406684
EH,0.01619459742984508
EE,0.008457907159716727
BC,0.008261211644374544
DH,0.008261211644374433
GB,0.008195646472593743
AX,0.00819564647259352
AH,0.008130081300812941
GI,0.008064516129032251
GF,0.008064516129032251
GE,0.008064516129032251
BP,0.008064516129032029
AR,6.556517178069043e-05
FC,0.0
CB,0.0
DV,0.0
AZ,-1.1102230246251565e-16
DY,-2.220446049250313e-16
BN,-6.556517178080146e-05
AY,-0.007933385785470759
BD,-0.008064516129032251
CF,-0.008064516129032473
BZ,-0.008130081300813052
DF,-0.008130081300813052
FE,-0.008261211644374655
BR,-0.01606346708628381
GH,-0.016129032258064613
FD,-0.016194597429845303
CW,-0.016260162601626105
DI,-0.024127983215316062
